event_id,date_key,conflict_phase_key,incident_type_key,vessel_type_key,flag_state_key,estimated_delay_hours,cargo_volume_impacted_kt,lat,lon,reroute_required
EVT-00001,20241005,1,1,2,1,11.9,44.0,26.6907,56.2587,False
EVT-00002,20241005,1,2,5,2,19.4,56.0,31.2592,31.9837,False
EVT-00003,20241006,1,3,2,3,0.4,154.0,26.7593,55.3378,True
EVT-00004,20241006,1,4,4,4,24.7,99.0,18.719,103.0955,False
EVT-00005,20241007,1,5,6,5,269.6,515.0,9.8326,60.9242,True
EVT-00006,20241008,1,6,7,6,19.1,262.0,30.4453,32.8425,True
EVT-00007,20241009,1,7,7,7,0.3,434.0,12.4199,42.6067,True
EVT-00008,20241009,1,8,6,8,3.8,415.0,30.4795,39.6054,False
EVT-00009,20241010,1,6,6,5,7.3,47.0,30.8843,31.4345,False
EVT-00010,20241011,1,9,7,4,127.2,1319.0,19.6635,46.0073,True
EVT-00011,20241012,1,1,1,2,502.0,465.0,30.472,32.4016,True
EVT-00012,20241012,1,10,2,2,5.8,6.0,25.5677,56.079,False
EVT-00013,20241012,1,11,2,3,125.6,1674.0,25.6634,55.6646,True
EVT-00014,20241012,1,1,7,5,34.7,2289.0,2.0332,101.9196,True
EVT-00015,20241012,1,1,5,4,137.8,475.0,12.4093,42.403,True
EVT-00016,20241013,1,3,1,7,1.4,109.0,13.7802,42.4055,True
EVT-00017,20241014,1,5,5,9,174.6,800.0,4.8896,39.3763,True
EVT-00018,20241014,1,8,5,5,2.4,108.0,7.9087,105.8541,False
EVT-00019,20241016,1,12,1,6,56.1,934.0,12.5138,44.1725,False
EVT-00020,20241018,1,7,7,3,5.2,92.0,19.0035,101.2943,False
EVT-00021,20241018,1,7,5,8,45.8,66.0,26.4226,56.1805,False
EVT-00022,20241019,1,13,6,10,5.0,169.0,20.743,90.2875,False
EVT-00023,20241020,1,2,2,2,1.4,4.0,25.9065,56.8005,False
EVT-00024,20241021,1,5,7,9,57.5,1178.0,27.2322,57.1555,True
EVT-00025,20241021,1,5,5,10,73.6,402.0,12.5668,43.0228,False
EVT-00026,20241023,1,2,7,8,1.2,59.0,12.7084,43.2604,False
EVT-00027,20241026,1,5,7,5,2.0,4.0,27.1483,56.2545,False
EVT-00028,20241026,1,13,6,7,11.7,22.0,10.7958,106.9909,False
EVT-00029,20241026,1,11,8,9,4.9,9.0,13.109,44.1496,False
EVT-00030,20241026,1,8,8,6,21.0,43.0,23.0032,54.3301,False
EVT-00031,20241027,1,8,3,10,4.0,168.0,32.8228,68.7854,False
EVT-00032,20241028,1,8,4,8,57.4,234.0,27.2052,56.9799,False
EVT-00033,20241028,1,14,1,5,16.4,112.0,27.2635,55.5535,False
EVT-00034,20241029,1,12,4,3,22.9,1465.0,25.5594,56.0212,True
EVT-00035,20241031,1,14,4,5,7.1,866.0,3.4245,101.8944,True
EVT-00036,20241101,1,12,3,4,1.0,43.0,19.4983,88.3269,False
EVT-00037,20241101,1,9,7,10,17.9,605.0,12.7584,44.0713,True
EVT-00038,20241102,1,8,6,6,8.0,13.0,12.7677,42.4533,False
EVT-00039,20241103,1,6,7,8,0.6,274.0,12.7256,43.1509,False
EVT-00040,20241103,1,15,5,9,12.6,452.0,26.7154,56.9621,True
EVT-00041,20241105,1,11,3,7,5.0,129.0,12.9064,42.6645,True
EVT-00042,20241105,1,1,4,8,10.8,21.0,12.1139,44.0698,False
EVT-00043,20241106,1,7,4,2,32.2,1273.0,12.5357,42.535,True
EVT-00044,20241106,1,1,3,8,11.3,187.0,11.8327,43.6215,False
EVT-00045,20241106,1,6,1,9,17.3,243.0,27.2381,55.5183,False
EVT-00046,20241106,1,1,8,6,50.2,92.0,26.8741,56.7563,False
EVT-00047,20241107,1,14,7,6,436.4,370.0,26.1985,56.0092,True
EVT-00048,20241107,1,15,7,4,17.0,35.0,26.7061,55.3221,False
EVT-00049,20241107,1,3,2,8,3.4,15.0,25.5008,56.9185,False
EVT-00050,20241107,1,4,8,3,826.0,116.0,30.5629,32.8889,True
EVT-00051,20241107,1,2,1,4,84.3,583.0,31.4727,31.9601,True
EVT-00052,20241108,1,8,6,8,7.7,12.0,13.606,43.494,False
EVT-00053,20241111,1,15,7,4,56.5,434.0,21.7298,47.7022,True
EVT-00054,20241111,1,10,6,7,45.5,1098.0,12.6932,44.1387,True
EVT-00055,20241111,1,7,2,6,55.4,24.0,13.2553,43.6975,False
EVT-00056,20241112,1,1,8,1,37.2,315.0,13.1397,43.9669,True
EVT-00057,20241114,1,6,3,2,2.8,650.0,31.3561,32.372,True
EVT-00058,20241115,1,1,8,2,3.0,56.0,27.3853,56.8267,False
EVT-00059,20241116,1,2,3,9,5.9,21.0,29.7654,32.6248,False
EVT-00060,20241116,1,12,4,10,0.9,204.0,12.8355,43.4621,True
EVT-00061,20241117,1,7,6,6,1.2,106.0,27.3703,57.2596,False
EVT-00062,20241118,1,1,5,4,3.6,78.0,26.0843,56.2202,False
EVT-00063,20241118,1,2,2,10,105.3,159.0,13.6246,42.3033,True
EVT-00064,20241118,1,11,7,9,52.6,1483.0,30.2732,32.6942,True
EVT-00065,20241121,1,4,1,7,218.7,795.0,31.4779,33.1726,True
EVT-00066,20241121,1,10,4,5,2.2,45.0,30.0675,32.2832,False
EVT-00067,20241121,1,9,8,1,21.6,166.0,7.3015,90.023,True
EVT-00068,20241121,1,11,4,9,1.6,6.0,30.1768,33.0083,False
EVT-00069,20241122,1,8,7,1,15.1,308.0,29.5596,32.57,True
EVT-00070,20241122,1,10,8,5,7.6,37.0,12.5214,42.3819,False
EVT-00071,20241123,1,6,7,9,43.9,71.0,-34.8761,18.5155,False
EVT-00072,20241123,1,6,1,5,48.4,1357.0,13.2904,42.8241,True
EVT-00073,20241123,1,2,7,2,158.2,50.0,26.6429,56.0681,True
EVT-00074,20241123,1,1,3,5,10.6,126.0,26.792,56.1148,True
EVT-00075,20241123,1,1,7,6,39.0,36.0,27.4812,56.9609,True
EVT-00076,20241123,1,14,7,6,9.8,469.0,30.1196,32.0675,True
EVT-00077,20241123,1,9,4,7,4.0,355.0,12.5293,43.3341,False
EVT-00078,20241124,1,4,3,5,73.1,134.0,31.1613,31.4583,True
EVT-00079,20241124,1,14,3,7,18.3,84.0,26.2645,56.4641,False
EVT-00080,20241125,1,12,1,9,57.9,151.0,13.1696,43.8695,True
EVT-00081,20241125,1,1,3,2,5.5,48.0,26.7861,57.2612,False
