country_key,date_key,fuel_type_key,conflict_phase_key,import_volume_kbpd,me_share_pct,alternative_source_pct,price_premium_pct,disruption_risk_score,spr_days_cover
1,20241001,1,1,6418.2,43.69,53.53,0.0,1.5,91.0
1,20241001,2,1,2107.4,43.3,55.31,0.0,1.9,97.0
1,20241001,3,1,623.4,43.81,55.27,0.0,1.7,87.0
1,20241001,4,1,916.5,43.07,54.53,0.0,1.1,86.0
1,20241001,5,1,557.4,44.64,56.58,0.0,1.6,77.0
1,20241001,6,1,336.4,44.26,53.78,0.0,1.5,88.0
2,20241001,1,1,3082.7,61.07,37.76,0.0,1.9,70.0
2,20241001,2,1,897.5,63.76,34.8,0.0,2.6,56.0
2,20241001,3,1,265.1,61.79,38.91,0.0,2.7,47.0
2,20241001,4,1,393.9,62.86,37.53,0.0,1.8,60.0
2,20241001,5,1,259.1,62.68,39.16,0.0,1.8,69.0
2,20241001,6,1,141.0,62.02,36.92,0.0,2.4,48.0
3,20241001,1,1,1743.1,85.65,14.78,0.0,2.9,233.0
3,20241001,2,1,595.1,86.48,13.09,0.0,3.4,235.0
3,20241001,3,1,196.5,85.14,15.69,0.0,3.3,231.0
3,20241001,4,1,266.8,90.99,9.43,0.0,2.8,225.0
3,20241001,5,1,165.7,86.62,13.27,0.0,2.9,241.0
3,20241001,6,1,95.4,88.68,11.89,0.0,3.3,241.0
4,20241001,1,1,1600.6,73.18,25.39,0.0,2.4,189.0
4,20241001,2,1,492.4,69.52,31.9,0.0,2.9,189.0
4,20241001,3,1,155.5,71.07,30.62,0.0,2.2,192.0
4,20241001,4,1,225.9,72.44,28.15,0.0,2.3,179.0
4,20241001,5,1,128.1,70.77,28.52,0.0,2.3,183.0
4,20241001,6,1,76.9,72.57,27.92,0.0,2.7,177.0
5,20241001,1,1,403.9,14.6,57.26,0.0,0.7,61.0
5,20241001,2,1,115.7,15.52,57.69,0.0,0.1,62.0
5,20241001,3,1,37.9,15.56,58.74,0.0,0.9,39.0
5,20241001,4,1,52.7,15.57,58.54,0.0,0.9,60.0
5,20241001,5,1,33.9,15.23,57.49,0.0,0.2,51.0
5,20241001,6,1,20.1,15.59,56.42,0.0,0.3,53.0
6,20241001,1,1,550.1,18.22,57.91,0.0,0.2,34.0
6,20241001,2,1,145.6,17.59,58.32,0.0,1.0,40.0
6,20241001,3,1,47.2,17.55,62.88,0.0,1.0,44.0
6,20241001,4,1,72.0,18.15,60.22,0.0,0.4,36.0
6,20241001,5,1,39.7,17.92,59.59,0.0,0.2,33.0
6,20241001,6,1,27.1,18.36,58.12,0.0,0.3,35.0
7,20241001,1,1,539.8,56.02,44.25,0.0,2.1,34.0
7,20241001,2,1,166.7,52.86,47.2,0.0,2.1,58.0
7,20241001,3,1,56.1,53.84,46.6,0.0,2.0,30.0
7,20241001,4,1,77.0,53.11,45.7,0.0,1.6,30.0
7,20241001,5,1,47.4,56.09,42.99,0.0,1.9,37.0
7,20241001,6,1,29.0,55.43,42.76,0.0,2.3,50.0
8,20241001,1,1,228.0,21.2,60.18,0.0,0.7,52.0
8,20241001,2,1,71.7,21.84,57.47,0.0,0.8,38.0
8,20241001,3,1,22.3,22.74,62.98,0.0,0.7,44.0
8,20241001,4,1,30.9,22.81,59.1,0.0,0.6,29.0
8,20241001,5,1,19.9,21.15,60.04,0.0,1.1,37.0
8,20241001,6,1,12.5,21.65,61.75,0.0,0.3,49.0
9,20241001,1,1,190.5,61.11,40.12,0.0,1.6,43.0
9,20241001,2,1,58.0,60.97,40.66,0.0,2.2,45.0
9,20241001,3,1,17.6,60.67,37.76,0.0,2.2,36.0
9,20241001,4,1,25.3,61.68,36.55,0.0,1.7,32.0
9,20241001,5,1,16.0,59.79,40.93,0.0,2.3,54.0
9,20241001,6,1,9.8,60.74,39.21,0.0,2.4,35.0
10,20241001,1,1,233.0,12.44,57.0,0.0,-0.1,50.0
10,20241001,2,1,81.0,12.08,58.77,0.0,0.1,48.0
10,20241001,3,1,26.8,11.86,57.62,0.0,0.4,47.0
10,20241001,4,1,33.9,11.97,59.69,0.0,0.7,21.0
10,20241001,5,1,20.3,11.95,59.32,0.0,0.4,32.0
10,20241001,6,1,12.4,11.86,62.32,0.0,0.5,37.0
11,20241001,1,1,274.5,75.53,25.68,0.0,2.4,39.0
11,20241001,2,1,82.9,74.54,26.37,0.0,3.0,50.0
11,20241001,3,1,28.8,73.42,27.52,0.0,3.1,47.0
11,20241001,4,1,38.8,73.01,27.31,0.0,2.3,44.0
11,20241001,5,1,24.0,73.86,27.48,0.0,3.1,50.0
11,20241001,6,1,15.4,75.83,23.36,0.0,2.4,44.0
12,20241001,1,1,81.7,43.07,57.66,0.0,1.0,43.0
12,20241001,2,1,25.6,40.48,62.9,0.0,1.0,50.0
12,20241001,3,1,8.1,41.68,61.48,0.0,1.1,27.0
12,20241001,4,1,11.2,42.63,53.94,0.0,1.0,35.0
12,20241001,5,1,7.1,42.62,59.21,0.0,1.6,51.0
12,20241001,6,1,4.3,43.49,54.74,0.0,1.0,39.0
13,20241001,1,1,493.3,81.1,19.98,0.0,2.3,50.0
