response_id,country_key,date_key,conflict_phase_key,response_category_key,estimated_cost_musd,effectiveness_score,me_dependency_reduction_pct
RSP-00001,1,20241001,1,1,4.4,3.9,0.0
RSP-00002,1,20241001,1,2,5.7,6.1,0.0
RSP-00003,1,20241001,1,3,6.1,7.5,0.0
RSP-00004,2,20241001,1,4,0.7,5.1,0.0
RSP-00005,3,20241001,1,5,2.2,7.6,0.0
RSP-00006,3,20241001,1,6,1.5,7.6,0.0
RSP-00007,3,20241001,1,7,1.3,8.2,0.0
RSP-00008,4,20241001,1,5,0.6,7.4,0.0
RSP-00009,4,20241001,1,8,0.9,4.7,0.0
RSP-00010,5,20241001,1,9,0.1,7.5,0.0
RSP-00011,6,20241001,1,7,0.2,6.6,0.0
RSP-00012,7,20241001,1,6,0.2,4.5,0.0
RSP-00013,7,20241001,1,9,0.2,6.0,0.0
RSP-00014,8,20241001,1,1,0.1,3.2,0.0
RSP-00015,8,20241001,1,10,0.1,5.5,0.0
RSP-00016,9,20241001,1,3,0.2,6.9,0.0
RSP-00017,9,20241001,1,10,0.2,3.3,0.0
RSP-00018,10,20241001,1,2,0.1,7.7,0.0
RSP-00019,11,20241001,1,8,0.2,5.1,0.0
RSP-00020,11,20241001,1,9,0.2,5.5,0.0
RSP-00021,12,20241001,1,3,0.2,5.2,0.0
RSP-00022,13,20241001,1,11,0.5,5.7,0.0
RSP-00023,13,20241001,1,8,0.3,4.2,0.0
RSP-00024,13,20241001,1,3,0.4,7.8,0.0
RSP-00025,14,20241001,1,5,0.2,4.3,0.0
RSP-00026,14,20241001,1,1,0.3,5.4,0.0
RSP-00027,14,20241001,1,8,0.3,5.0,0.0
RSP-00028,15,20241001,1,6,0.1,8.3,0.0
RSP-00029,16,20241001,1,2,0.1,5.6,0.0
RSP-00030,16,20241001,1,8,0.1,5.8,0.0
RSP-00031,17,20241001,1,6,0.1,6.4,0.0
RSP-00032,18,20241001,1,9,0.1,5.9,0.0
RSP-00033,19,20241001,1,7,0.1,5.5,0.0
RSP-00034,20,20241001,1,12,0.1,6.0,0.0
RSP-00035,1,20241101,1,13,2.9,4.9,0.0
RSP-00036,1,20241101,1,2,2.5,5.7,0.0
RSP-00037,2,20241101,1,13,1.3,7.8,0.0
RSP-00038,3,20241101,1,2,1.7,7.5,0.0
RSP-00039,4,20241101,1,11,0.4,7.1,0.0
RSP-00040,5,20241101,1,14,0.1,6.1,0.0
RSP-00041,6,20241101,1,6,0.2,7.8,0.0
RSP-00042,7,20241101,1,10,0.3,7.9,0.0
RSP-00043,8,20241101,1,10,0.1,7.3,0.0
RSP-00044,9,20241101,1,3,0.2,5.0,0.0
RSP-00045,10,20241101,1,8,0.1,6.3,0.0
RSP-00046,11,20241101,1,15,0.1,5.2,0.0
RSP-00047,11,20241101,1,11,0.1,7.5,0.0
RSP-00048,11,20241101,1,3,0.1,4.4,0.0
RSP-00049,12,20241101,1,15,0.1,8.3,0.0
RSP-00050,13,20241101,1,3,0.6,7.4,0.0
RSP-00051,14,20241101,1,2,0.2,6.6,0.0
RSP-00052,14,20241101,1,3,0.3,5.1,0.0
RSP-00053,14,20241101,1,13,0.1,6.1,0.0
RSP-00054,15,20241101,1,11,0.1,10.0,0.0
RSP-00055,15,20241101,1,2,0.1,4.8,0.0
RSP-00056,16,20241101,1,3,0.1,5.4,0.0
RSP-00057,16,20241101,1,13,0.1,2.7,0.0
RSP-00058,16,20241101,1,4,0.1,6.5,0.0
RSP-00059,17,20241101,1,12,0.1,4.3,0.0
RSP-00060,17,20241101,1,6,0.1,4.7,0.0
RSP-00061,18,20241101,1,15,0.1,7.6,0.0
RSP-00062,18,20241101,1,3,0.1,3.0,0.0
RSP-00063,19,20241101,1,13,0.1,8.9,0.0
RSP-00064,20,20241101,1,13,0.1,5.1,0.0
RSP-00065,1,20241201,1,5,7.4,4.2,0.0
RSP-00066,2,20241201,1,1,0.9,8.3,0.0
RSP-00067,3,20241201,1,13,2.6,5.1,0.0
RSP-00068,3,20241201,1,2,2.5,5.6,0.0
RSP-00069,3,20241201,1,11,3.8,8.8,0.0
RSP-00070,3,20241201,1,15,2.4,5.2,0.0
RSP-00071,3,20241201,1,6,2.6,5.9,0.0
RSP-00072,4,20241201,1,8,0.3,7.1,0.0
RSP-00073,4,20241201,1,4,1.2,5.4,0.0
RSP-00074,4,20241201,1,9,0.8,4.5,0.0
RSP-00075,4,20241201,1,4,1.1,5.7,0.0
RSP-00076,4,20241201,1,4,0.7,6.1,0.0
RSP-00077,5,20241201,1,9,0.1,6.9,0.0
RSP-00078,6,20241201,1,13,0.2,3.7,0.0
RSP-00079,7,20241201,1,9,0.2,5.9,0.0
RSP-00080,7,20241201,1,12,0.1,8.3,0.0
RSP-00081,8,20241201,1,7,0.1,5.6,0.0
RSP-00082,9,20241201,1,6,0.1,5.9,0.0
RSP-00083,10,20241201,1,10,0.1,7.7,0.0
RSP-00084,11,20241201,1,6,0.2,7.3,0.0
RSP-00085,12,20241201,1,15,0.1,3.8,0.0
RSP-00086,12,20241201,1,3,0.1,4.4,0.0
RSP-00087,13,20241201,1,9,0.4,6.7,0.0
RSP-00088,13,20241201,1,11,0.4,4.1,0.0
RSP-00089,14,20241201,1,6,0.3,5.3,0.0
RSP-00090,14,20241201,1,9,0.3,5.6,0.0
RSP-00091,14,20241201,1,11,0.3,6.0,0.0
RSP-00092,14,20241201,1,12,0.4,5.6,0.0
RSP-00093,15,20241201,1,6,0.1,5.9,0.0
RSP-00094,16,20241201,1,9,0.1,6.9,0.0
RSP-00095,16,20241201,1,5,0.1,6.2,0.0
RSP-00096,16,20241201,1,13,0.1,6.6,0.0
RSP-00097,16,20241201,1,7,0.1,4.4,0.0
RSP-00098,16,20241201,1,11,0.1,5.6,0.0
RSP-00099,17,20241201,1,9,0.1,7.3,0.0
RSP-00100,17,20241201,1,12,0.1,4.1,0.0
RSP-00101,18,20241201,1,8,0.1,7.4,0.0
RSP-00102,19,20241201,1,5,0.1,7.5,0.0
RSP-00103,20,20241201,1,11,0.1,5.1,0.0
RSP-00104,1,20250101,2,15,11.0,2.3,0.93
RSP-00105,2,20250101,2,6,2.2,8.0,1.22
RSP-00106,2,20250101,2,14,2.3,3.4,1.38
RSP-00107,2,20250101,2,9,2.1,5.3,1.5
RSP-00108,3,20250101,2,3,5.0,7.0,1.85
RSP-00109,3,20250101,2,4,3.9,4.8,1.68
RSP-00110,3,20250101,2,2,2.0,5.8,1.75
RSP-00111,3,20250101,2,12,2.1,4.4,1.61
RSP-00112,4,20250101,2,8,0.7,7.9,1.46
RSP-00113,5,20250101,2,9,0.3,7.2,0.33
RSP-00114,6,20250101,2,11,0.2,8.0,0.44
RSP-00115,6,20250101,2,5,0.4,6.8,0.4
RSP-00116,6,20250101,2,13,0.3,7.3,0.29
RSP-00117,7,20250101,2,6,0.3,6.3,1.11
RSP-00118,7,20250101,2,14,0.1,6.4,0.9
RSP-00119,7,20250101,2,13,0.3,8.1,0.97
