route_key,week,vessel_type_key,conflict_phase_key,freight_rate_usd_day,war_risk_premium_pct,hull_insurance_pct_value,bunker_cost_usd_mt,transit_time_days,rerouting_extra_days
1,41,1,1,45622.0,0.045,0.257,583.0,2.2,0.0
1,41,2,1,33493.0,0.056,0.267,644.0,1.8,0.0
1,41,3,1,20870.0,0.046,0.273,584.0,1.9,0.0
1,41,4,1,62682.0,0.055,0.245,612.0,2.0,0.0
2,41,1,1,39294.0,0.046,0.238,645.0,2.1,0.0
2,41,2,1,30385.0,0.046,0.273,627.0,2.1,0.0
2,41,3,1,19916.0,0.045,0.268,628.0,2.0,0.0
2,41,4,1,51346.0,0.048,0.228,608.0,2.2,0.0
3,41,1,1,50040.0,0.053,0.245,603.0,1.1,0.0
3,41,2,1,34942.0,0.045,0.247,596.0,1.0,0.0
3,41,3,1,22560.0,0.053,0.248,653.0,1.0,0.0
3,41,4,1,61889.0,0.048,0.257,613.0,1.0,0.0
4,41,1,1,29640.0,0.054,0.261,592.0,1.0,0.0
4,41,2,1,21745.0,0.051,0.227,635.0,1.0,0.0
4,41,3,1,14559.0,0.056,0.261,623.0,1.0,0.0
4,41,4,1,41214.0,0.053,0.246,613.0,1.1,0.0
5,41,1,1,62056.0,0.054,0.264,611.0,13.2,0.0
5,41,2,1,45516.0,0.046,0.263,586.0,13.0,0.0
5,41,3,1,31016.0,0.048,0.227,593.0,14.0,0.0
5,41,4,1,87466.0,0.051,0.274,620.0,14.7,0.0
6,41,1,1,51041.0,0.052,0.243,621.0,7.4,0.0
6,41,2,1,38811.0,0.056,0.261,591.0,7.3,0.0
6,41,3,1,24727.0,0.054,0.232,626.0,7.9,0.0
6,41,4,1,69682.0,0.051,0.253,637.0,8.8,0.0
7,41,1,1,38433.0,0.053,0.271,641.0,8.7,0.0
7,41,2,1,27157.0,0.05,0.235,633.0,7.6,0.0
7,41,3,1,17834.0,0.055,0.236,590.0,7.4,0.0
7,41,4,1,51035.0,0.048,0.228,610.0,7.6,0.0
8,41,1,1,56790.0,0.056,0.24,587.0,7.3,0.0
8,41,2,1,39522.0,0.052,0.241,603.0,8.4,0.0
