country_key,date_key,sector_key,conflict_phase_key,supply_chain_disruption_index,estimated_gdp_impact_musd,avg_delivery_delay_days,input_cost_increase_pct,inventory_stress_score,supplier_diversification_score
1,20241001,1,1,20.0,0.0,0.9,0.0,3.3,6.5
1,20241001,2,1,10.3,0.0,1.1,0.0,2.1,6.5
1,20241001,3,1,7.5,0.0,1.1,0.0,1.1,6.5
1,20241001,4,1,5.5,0.0,1.0,0.0,1.0,6.5
1,20241001,5,1,8.1,0.0,1.0,0.0,1.5,6.5
1,20241001,6,1,11.4,0.0,1.0,0.0,1.9,6.5
1,20241001,7,1,4.4,0.0,0.9,0.0,0.9,6.5
1,20241001,8,1,13.2,0.0,1.1,0.0,2.3,6.5
2,20241001,1,1,22.7,0.0,1.0,0.0,4.6,5.0
2,20241001,2,1,15.7,0.0,0.9,0.0,2.8,5.0
2,20241001,3,1,9.6,0.0,1.1,0.0,1.6,5.0
2,20241001,4,1,7.3,0.0,0.9,0.0,1.5,5.0
2,20241001,5,1,11.3,0.0,1.0,0.0,2.2,5.0
2,20241001,6,1,13.8,0.0,0.9,0.0,2.5,5.0
2,20241001,7,1,7.6,0.0,0.9,0.0,1.3,5.0
2,20241001,8,1,19.9,0.0,1.0,0.0,3.5,5.0
3,20241001,1,1,34.0,0.0,1.0,0.0,6.9,3.0
3,20241001,2,1,23.3,0.0,1.0,0.0,4.4,3.0
3,20241001,3,1,14.0,0.0,1.1,0.0,2.5,3.0
3,20241001,4,1,10.6,0.0,0.9,0.0,2.0,3.0
3,20241001,5,1,17.2,0.0,0.9,0.0,3.0,3.0
3,20241001,6,1,20.9,0.0,1.0,0.0,3.8,3.0
3,20241001,7,1,10.2,0.0,1.1,0.0,1.7,3.0
3,20241001,8,1,24.7,0.0,1.0,0.0,4.2,3.0
4,20241001,1,1,28.2,0.0,1.0,0.0,5.4,4.2
4,20241001,2,1,20.3,0.0,0.9,0.0,3.4,4.2
4,20241001,3,1,12.2,0.0,0.9,0.0,1.9,4.2
4,20241001,4,1,10.8,0.0,1.0,0.0,1.6,4.2
4,20241001,5,1,14.4,0.0,1.1,0.0,2.7,4.2
4,20241001,6,1,15.4,0.0,1.0,0.0,2.9,4.2
4,20241001,7,1,7.0,0.0,0.9,0.0,1.4,4.2
4,20241001,8,1,21.3,0.0,1.1,0.0,4.0,4.2
5,20241001,1,1,5.4,0.0,1.0,0.0,1.2,8.8
5,20241001,2,1,4.5,0.0,1.1,0.0,0.7,8.8
5,20241001,3,1,2.4,0.0,0.9,0.0,0.4,8.8
5,20241001,4,1,2.2,0.0,1.0,0.0,0.3,8.8
5,20241001,5,1,3.4,0.0,1.0,0.0,0.5,8.8
5,20241001,6,1,3.3,0.0,1.1,0.0,0.7,8.8
5,20241001,7,1,1.9,0.0,1.0,0.0,0.3,8.8
5,20241001,8,1,4.0,0.0,1.1,0.0,0.8,8.8
6,20241001,1,1,7.0,0.0,0.9,0.0,1.3,8.6
6,20241001,2,1,5.0,0.0,1.1,0.0,0.9,8.6
6,20241001,3,1,2.6,0.0,1.1,0.0,0.5,8.6
6,20241001,4,1,2.6,0.0,1.0,0.0,0.4,8.6
6,20241001,5,1,3.1,0.0,1.0,0.0,0.6,8.6
6,20241001,6,1,4.4,0.0,1.0,0.0,0.7,8.6
6,20241001,7,1,2.1,0.0,0.9,0.0,0.4,8.6
6,20241001,8,1,4.9,0.0,0.9,0.0,1.0,8.6
7,20241001,1,1,24.2,0.0,1.1,0.0,4.3,5.6
7,20241001,2,1,13.5,0.0,1.0,0.0,2.5,5.6
7,20241001,3,1,7.4,0.0,1.1,0.0,1.5,5.6
7,20241001,4,1,8.0,0.0,0.9,0.0,1.2,5.6
7,20241001,5,1,11.2,0.0,1.1,0.0,2.1,5.6
7,20241001,6,1,11.5,0.0,1.0,0.0,2.3,5.6
7,20241001,7,1,6.4,0.0,1.1,0.0,1.0,5.6
7,20241001,8,1,14.8,0.0,1.0,0.0,2.6,5.6
8,20241001,1,1,9.2,0.0,1.1,0.0,1.5,8.2
8,20241001,2,1,5.5,0.0,0.9,0.0,1.2,8.2
8,20241001,3,1,2.9,0.0,1.1,0.0,0.6,8.2
8,20241001,4,1,3.0,0.0,0.9,0.0,0.6,8.2
8,20241001,5,1,3.7,0.0,1.0,0.0,0.7,8.2
8,20241001,6,1,6.0,0.0,1.0,0.0,0.9,8.2
8,20241001,7,1,2.8,0.0,1.0,0.0,0.4,8.2
8,20241001,8,1,7.1,0.0,1.1,0.0,1.1,8.2
9,20241001,1,1,24.9,0.0,1.0,0.0,4.7,5.2
9,20241001,2,1,17.5,0.0,1.0,0.0,2.9,5.2
