date_key,vessel_type_key,conflict_phase_key,incident_type_key,flag_state_key,estimated_delay_hours,cargo_volume_impacted_kt,lat,lon
20241005,2,1,1,1,11.9,44.0,26.3,56.3
20241005,5,1,2,2,19.4,56.0,30.6,32.3
20241006,2,1,3,3,0.4,154.0,26.3,56.3
20241006,4,1,4,4,24.7,99.0,25.0,51.0
20241007,6,1,5,5,269.6,515.0,9.8326,60.9242
20241008,7,1,6,6,19.1,262.0,30.4453,32.8425
20241009,6,1,8,8,3.8,415.0,30.0,122.0
20241009,7,1,7,7,0.3,434.0,12.4199,42.6067
20241010,6,1,6,5,7.3,47.0,30.8843,31.4345
20241011,7,1,9,4,127.2,1319.0,19.6635,46.0073
20241012,1,1,1,2,502.0,465.0,30.6,32.3
20241012,2,1,21,5,131.4,1680.0,51.2311,111.7436
20241012,5,1,1,4,137.8,475.0,12.4093,42.403
20241012,7,1,1,5,34.7,2289.0,2.5,101.9
20241013,1,1,3,7,1.4,109.0,12.6,43.3
20241014,5,1,13,14,177.0,908.0,41.8896,174.37630000000001
20241016,1,1,12,6,56.1,934.0,12.6,43.3
20241018,5,1,7,8,45.8,66.0,26.4226,56.1805
20241018,7,1,7,3,5.2,92.0,19.0035,101.2943
20241019,6,1,13,10,5.0,169.0,20.743,90.2875
20241020,2,1,2,2,1.4,4.0,26.3,56.3
20241021,5,1,5,10,73.6,402.0,12.5668,43.0228
20241021,7,1,5,9,57.5,1178.0,27.2322,57.1555
20241023,7,1,2,8,1.2,59.0,12.7084,43.2604
20241026,6,1,13,7,11.7,22.0,10.7958,106.9909
20241026,7,1,5,5,2.0,4.0,27.1483,56.2545
20241026,8,1,19,15,25.9,52.0,50.109,179.1496
20241027,3,1,8,10,4.0,168.0,37.0,135.0
20241028,1,1,14,5,16.4,112.0,26.3,56.3
20241028,4,1,8,8,57.4,234.0,26.3,56.3
20241029,4,1,12,3,22.9,1465.0,25.5594,56.0212
20241031,4,1,14,5,7.1,866.0,2.5,101.9
20241101,3,1,12,4,1.0,43.0,19.4983,88.3269
20241101,7,1,9,10,17.9,605.0,12.6,43.3
20241102,6,1,8,6,8.0,13.0,12.6,43.3
20241103,5,1,15,9,12.6,452.0,26.7154,56.9621
20241103,7,1,6,8,0.6,274.0,12.7256,43.1509
20241105,3,1,11,7,5.0,129.0,12.9064,42.6645
20241105,4,1,1,8,10.8,21.0,12.1139,44.0698
20241106,1,1,6,9,17.3,243.0,27.2381,55.5183
20241106,3,1,1,8,11.3,187.0,11.8327,43.6215
20241106,4,1,7,2,32.2,1273.0,12.5357,42.535
20241106,8,1,1,6,50.2,92.0,26.3,56.3
20241107,1,1,2,4,84.3,583.0,30.6,32.3
20241107,2,1,3,8,3.4,15.0,26.3,56.3
20241107,7,1,29,10,453.4,405.0,53.0061,111.62209999999999
20241107,8,1,4,3,826.0,116.0,25.0,51.0
20241108,6,1,8,8,7.7,12.0,12.6,43.3
20241111,2,1,7,6,55.4,24.0,13.2553,43.6975
20241111,6,1,10,7,45.5,1098.0,12.6932,44.1387
20241111,7,1,15,4,56.5,434.0,21.7298,47.7022
20241112,8,1,1,1,37.2,315.0,13.1397,43.9669
20241114,3,1,6,2,2.8,650.0,31.3561,32.372
20241115,8,1,1,2,3.0,56.0,26.3,56.3
20241116,3,1,2,9,5.9,21.0,30.6,32.3
20241116,4,1,12,10,0.9,204.0,12.6,43.3
20241117,6,1,7,6,1.2,106.0,27.3703,57.2596
20241118,2,1,2,10,105.3,159.0,13.6246,42.3033
20241118,5,1,1,4,3.6,78.0,26.3,56.3
20241118,7,1,11,9,52.6,1483.0,30.2732,32.6942
20241121,1,1,4,7,218.7,795.0,25.0,51.0
20241121,4,1,21,14,3.8000000000000003,51.0,60.244299999999996,65.2915
20241121,8,1,9,1,21.6,166.0,7.3015,90.023
20241122,7,1,8,1,15.1,308.0,29.5596,32.57
20241122,8,1,10,5,7.6,37.0,12.5214,42.3819
20241123,1,1,6,5,48.4,1357.0,13.2904,42.8241
20241123,3,1,1,5,10.6,126.0,26.3,56.3
20241123,4,1,9,7,4.0,355.0,12.6,43.3
20241123,7,1,23,23,250.9,626.0,48.7196,163.1675
20241124,3,1,18,12,91.39999999999999,218.0,51.3,107.3
20241125,1,1,12,9,57.9,151.0,12.6,43.3
20241125,3,1,1,2,5.5,48.0,26.3,56.3
20241126,2,1,8,8,248.3,214.0,26.3,56.3
20241127,2,1,12,9,29.8,478.0,12.6,43.3
20241128,5,1,6,6,5.7,43.0,11.9507,43.0807
20241128,8,1,13,3,10.7,115.0,13.083,43.4696
20241130,8,1,9,9,10.9,59.0,30.0173,32.1453
20241202,8,1,9,10,5.1,599.0,-33.5845,18.1823
20241205,8,1,11,9,0.7,458.0,27.2906,55.6126
20241206,5,1,14,2,51.7,465.0,21.4198,94.8561
20241208,2,1,11,9,5.9,14.0,25.9024,57.2896
20241209,7,1,1,1,8.4,69.0,27.2818,81.1223
20241210,7,1,3,2,139.1,599.0,26.3,56.3
20241210,8,1,10,4,11.4,17.0,13.3015,43.0486
20241211,4,1,25,15,71.2,366.0,32.6736,223.0948
20241211,6,1,19,13,3.5999999999999996,224.0,37.0824,94.76599999999999
20241213,4,1,1,5,9.7,14.0,30.6,32.3
20241213,5,1,13,1,7.2,60.0,19.3095,73.4391
20241213,6,1,2,5,6.7,111.0,26.3,56.3
20241216,6,1,3,7,3.7,31.0,12.6,43.3
20241217,5,1,15,9,81.2,2645.0,-34.0,18.5
20241218,7,1,8,3,52.2,413.0,12.6,43.3
20241219,3,1,8,7,5.5,72.0,30.0,122.0
20241219,4,1,8,9,62.9,380.0,12.6,43.3
20241220,2,1,11,5,61.7,181.0,31.2727,31.3076
20241220,7,1,9,1,38.2,384.0,12.6,43.3
20241221,3,1,1,6,4.3,15.0,13.7654,43.9546
20241221,5,1,3,2,32.8,45.0,12.6,43.3
20241221,8,1,1,3,8.6,203.0,26.3,56.3
20241222,4,1,13,4,10.8,78.0,9.7208,101.0644
20241222,6,1,11,8,36.5,65.0,15.8566,69.1859
20241224,6,1,4,5,65.9,227.0,25.0,51.0
20241224,7,1,5,3,45.4,326.0,11.978,42.5425
20241227,1,1,10,6,5.3,635.0,9.3939,101.6332
20241227,3,1,14,10,47.5,13.0,30.0122,32.1075
20241228,3,1,14,6,25.4,1832.0,-34.0883,19.282
20241229,5,1,14,10,12.0,291.0,4.7886,108.0822
20241230,3,1,14,4,3.0,70.0,26.3,56.3
20241230,7,1,10,1,12.7,32.0,12.5711,43.5192
20241231,1,1,8,7,34.3,503.0,26.3,56.3
20241231,6,1,12,10,1.6,11.0,31.9762,81.7997
20250101,7,2,11,9,76.9,872.0,30.6182,31.8948
20250103,2,2,13,4,20.2,23.0,-34.0,18.5
20250104,4,2,13,3,18.7,218.0,26.6563,55.4417
20250104,5,2,3,5,3.7,1.0,12.6,43.3
20250104,6,2,11,4,2.5,93.0,25.8536,57.1012
20250105,1,2,9,5,5.8,104.0,30.4413,32.1164
20250105,3,2,12,8,11.3,65.0,-34.0,18.5
20250105,4,2,7,8,26.8,429.0,26.3287,56.6791
20250106,7,2,5,6,153.4,127.0,31.1305,32.9659
20250107,1,2,12,5,12.9,29.0,12.6,43.3
20250107,3,2,5,5,5.2,5.0,12.2631,43.1056
20250107,5,2,16,15,181.5,434.0,-21.4,61.8
20250108,2,2,11,6,32.1,2972.0,13.7963,42.4753
20250109,1,2,14,8,25.2,51.0,26.3,56.3
20250109,2,2,10,5,6.0,91.0,12.5423,44.0708
20250109,5,2,12,2,2.6,65.0,30.6,32.3
20250110,7,2,11,7,0.1,69.0,12.4535,42.6716
20250111,2,2,2,9,18.1,58.0,-35.1201,18.3194
20250111,5,2,4,1,7.7,239.0,25.0,51.0
20250112,1,2,9,3,16.6,225.0,12.6,43.3
20250112,2,2,13,2,4.4,26.0,26.7755,55.57
20250112,4,2,11,9,60.7,595.0,25.2,86.6
20250113,1,2,11,9,69.5,648.0,13.6984,42.8204
20250113,2,2,1,2,9.3,27.0,30.6,32.3
20250115,1,2,15,1,22.8,14.0,12.8365,43.3572
20250115,3,2,5,5,4.3,14.0,26.3594,55.837
20250115,5,2,14,4,0.3,46.0,26.3,56.3
20250115,6,2,9,7,9.7,1346.0,26.6605,43.4899
20250116,5,2,6,5,17.1,5024.0,30.6986,33.2399
20250117,5,2,15,5,0.5,44.0,30.1796,32.1928
20250118,4,2,11,3,108.4,2.0,26.945,56.7661
20250120,2,2,12,6,2.7,35.0,27.2612,57.1964
20250120,4,2,12,3,4.8,14.0,-34.0,18.5
20250120,7,2,8,8,35.7,2.0,12.6,43.3
20250121,5,2,15,10,57.0,353.0,39.1081,98.6969
20250121,8,2,1,4,5.0,493.0,26.3,56.3
20250122,1,2,6,9,4.6,22.0,31.4403,31.9792
20250123,4,2,2,3,3.8,151.0,-34.0068,17.7156
20250124,8,2,5,10,2.1,35.0,29.0913,62.1694
20250125,2,2,13,5,29.799999999999997,269.0,51.1458,107.4479
20250126,4,2,15,6,0.5,33.0,13.5179,43.0779
20250128,7,2,14,5,2.5,1276.0,31.1568,31.3155
20250129,3,2,15,3,5.6,23.0,27.1128,57.1105
20250130,5,2,14,8,42.6,48.0,26.3,56.3
20250130,6,2,14,6,30.8,64.0,26.3,56.3
20250131,1,2,9,3,548.8,793.0,30.7468,32.4383
20250131,8,2,11,3,5.8,72.0,30.9215,32.0164
20250201,1,2,6,1,127.6,61.0,26.196,116.1505
20250201,5,2,17,12,180.4,3605.0,42.6,165.3
20250201,6,2,7,1,60.0,166.0,26.7759,55.9268
20250202,2,2,14,1,54.7,98.0,19.8592,49.379
20250203,6,2,12,1,16.1,357.0,12.6,43.3
20250203,7,2,9,9,2.8,209.0,12.6,43.3
20250204,1,2,3,2,1.9,27.0,12.6,43.3
20250205,3,2,12,3,41.3,353.0,12.6,43.3
20250206,1,2,12,2,53.2,163.0,2.5,101.9
20250206,7,2,19,6,108.10000000000001,1090.0,27.1002,152.05360000000002
20250207,2,2,10,1,9.2,114.0,9.57,53.8917
20250207,5,2,9,10,1.3,79.0,26.949,56.095
20250207,6,2,26,16,423.5,3078.0,62.778800000000004,152.2156
20250208,2,2,56,27,51.3,1254.0,103.6266,255.37009999999998
20250208,3,2,2,8,31.4,306.0,30.6,32.3
20250209,1,2,6,3,263.1,1123.0,12.9039,42.8864
20250211,1,2,6,4,38.4,44.0,12.7216,43.6814
20250211,5,2,8,7,35.8,602.0,12.6,43.3
20250212,4,2,1,4,1.2,37.0,30.6,32.3
20250212,7,2,14,6,11.0,115.0,33.3686,50.333
20250213,3,2,13,5,56.1,9.0,29.7573,31.7381
20250213,7,2,2,9,49.7,19.0,30.6,32.3
20250213,8,2,13,8,8.8,89.0,12.8798,43.4988
