Week_Starting,Route,Vessel_Type,Freight_Rate_USD_Day,War_Risk_Premium_Pct,Hull_Insurance_Pct_Value,Bunker_Cost_USD_MT,Transit_Time_Days,Rerouting_Extra_Days,Conflict_Phase
2024-10-07,Strait of Hormuz,VLCC,45622.0,0.045,0.257,583.0,2.2,0.0,Initial Escalation
2024-10-07,Strait of Hormuz,Suezmax,33493.0,0.056,0.267,644.0,1.8,0.0,Initial Escalation
2024-10-07,Strait of Hormuz,Aframax,20870.0,0.046,0.273,584.0,1.9,0.0,Initial Escalation
2024-10-07,Strait of Hormuz,LNG Carrier,62682.0,0.055,0.245,612.0,2.0,0.0,Initial Escalation
2024-10-07,Bab el-Mandeb / Red Sea,VLCC,39294.0,0.046,0.238,645.0,2.1,0.0,Initial Escalation
2024-10-07,Bab el-Mandeb / Red Sea,Suezmax,30385.0,0.046,0.273,627.0,2.1,0.0,Initial Escalation
2024-10-07,Bab el-Mandeb / Red Sea,Aframax,19916.0,0.045,0.268,628.0,2.0,0.0,Initial Escalation
2024-10-07,Bab el-Mandeb / Red Sea,LNG Carrier,51346.0,0.048,0.228,608.0,2.2,0.0,Initial Escalation
2024-10-07,Suez Canal,VLCC,50040.0,0.053,0.245,603.0,1.1,0.0,Initial Escalation
2024-10-07,Suez Canal,Suezmax,34942.0,0.045,0.247,596.0,1.0,0.0,Initial Escalation
2024-10-07,Suez Canal,Aframax,22560.0,0.053,0.248,653.0,1.0,0.0,Initial Escalation
2024-10-07,Suez Canal,LNG Carrier,61889.0,0.048,0.257,613.0,1.0,0.0,Initial Escalation
2024-10-07,Strait of Malacca,VLCC,29640.0,0.054,0.261,592.0,1.0,0.0,Initial Escalation
2024-10-07,Strait of Malacca,Suezmax,21745.0,0.051,0.227,635.0,1.0,0.0,Initial Escalation
2024-10-07,Strait of Malacca,Aframax,14559.0,0.056,0.261,623.0,1.0,0.0,Initial Escalation
2024-10-07,Strait of Malacca,LNG Carrier,41214.0,0.053,0.246,613.0,1.1,0.0,Initial Escalation
2024-10-07,Cape of Good Hope (reroute),VLCC,62056.0,0.054,0.264,611.0,13.2,0.0,Initial Escalation
2024-10-07,Cape of Good Hope (reroute),Suezmax,45516.0,0.046,0.263,586.0,13.0,0.0,Initial Escalation
2024-10-07,Cape of Good Hope (reroute),Aframax,31016.0,0.048,0.227,593.0,14.0,0.0,Initial Escalation
2024-10-07,Cape of Good Hope (reroute),LNG Carrier,87466.0,0.051,0.274,620.0,14.7,0.0,Initial Escalation
2024-10-07,Persian Gulf – East China Sea,VLCC,51041.0,0.052,0.243,621.0,7.4,0.0,Initial Escalation
2024-10-07,Persian Gulf – East China Sea,Suezmax,38811.0,0.056,0.261,591.0,7.3,0.0,Initial Escalation
2024-10-07,Persian Gulf – East China Sea,Aframax,24727.0,0.054,0.232,626.0,7.9,0.0,Initial Escalation
2024-10-07,Persian Gulf – East China Sea,LNG Carrier,69682.0,0.051,0.253,637.0,8.8,0.0,Initial Escalation
2024-10-07,Persian Gulf – Bay of Bengal,VLCC,38433.0,0.053,0.271,641.0,8.7,0.0,Initial Escalation
2024-10-07,Persian Gulf – Bay of Bengal,Suezmax,27157.0,0.05,0.235,633.0,7.6,0.0,Initial Escalation
2024-10-07,Persian Gulf – Bay of Bengal,Aframax,17834.0,0.055,0.236,590.0,7.4,0.0,Initial Escalation
2024-10-07,Persian Gulf – Bay of Bengal,LNG Carrier,51035.0,0.048,0.228,610.0,7.6,0.0,Initial Escalation
2024-10-07,Persian Gulf – Sea of Japan,VLCC,56790.0,0.056,0.24,587.0,7.3,0.0,Initial Escalation
2024-10-07,Persian Gulf – Sea of Japan,Suezmax,39522.0,0.052,0.241,603.0,8.4,0.0,Initial Escalation
2024-10-07,Persian Gulf – Sea of Japan,Aframax,27753.0,0.05,0.264,594.0,7.4,0.0,Initial Escalation
2024-10-07,Persian Gulf – Sea of Japan,LNG Carrier,76927.0,0.051,0.23,635.0,7.7,0.0,Initial Escalation
2024-10-07,Aden Gulf – Indian Ocean,VLCC,34487.0,0.048,0.249,640.0,8.6,0.0,Initial Escalation
2024-10-07,Aden Gulf – Indian Ocean,Suezmax,24949.0,0.045,0.243,637.0,8.3,0.0,Initial Escalation
2024-10-07,Aden Gulf – Indian Ocean,Aframax,18778.0,0.053,0.249,637.0,7.9,0.0,Initial Escalation
2024-10-07,Aden Gulf – Indian Ocean,LNG Carrier,46991.0,0.055,0.257,599.0,7.9,0.0,Initial Escalation
2024-10-07,Arabian Sea – South China Sea,VLCC,41415.0,0.051,0.25,657.0,7.3,0.0,Initial Escalation
2024-10-07,Arabian Sea – South China Sea,Suezmax,28113.0,0.047,0.249,620.0,7.3,0.0,Initial Escalation
2024-10-07,Arabian Sea – South China Sea,Aframax,21594.0,0.047,0.245,631.0,8.6,0.0,Initial Escalation
2024-10-07,Arabian Sea – South China Sea,LNG Carrier,52983.0,0.05,0.247,585.0,8.8,0.0,Initial Escalation
2024-10-14,Strait of Hormuz,VLCC,43786.0,0.054,0.267,611.0,2.0,0.0,Initial Escalation
2024-10-14,Strait of Hormuz,Suezmax,30205.0,0.053,0.242,655.0,1.9,0.0,Initial Escalation
2024-10-14,Strait of Hormuz,Aframax,22598.0,0.053,0.241,595.0,2.1,0.0,Initial Escalation
2024-10-14,Strait of Hormuz,LNG Carrier,61512.0,0.053,0.226,601.0,2.1,0.0,Initial Escalation
2024-10-14,Bab el-Mandeb / Red Sea,VLCC,40013.0,0.046,0.23,647.0,1.9,0.0,Initial Escalation
2024-10-14,Bab el-Mandeb / Red Sea,Suezmax,27840.0,0.048,0.27,621.0,2.1,0.0,Initial Escalation
2024-10-14,Bab el-Mandeb / Red Sea,Aframax,21940.0,0.052,0.225,587.0,1.9,0.0,Initial Escalation
2024-10-14,Bab el-Mandeb / Red Sea,LNG Carrier,58243.0,0.046,0.229,649.0,2.2,0.0,Initial Escalation
2024-10-14,Suez Canal,VLCC,47850.0,0.054,0.264,588.0,1.1,0.0,Initial Escalation
2024-10-14,Suez Canal,Suezmax,34983.0,0.045,0.243,651.0,1.1,0.0,Initial Escalation
2024-10-14,Suez Canal,Aframax,23533.0,0.049,0.247,623.0,1.0,0.0,Initial Escalation
2024-10-14,Suez Canal,LNG Carrier,60069.0,0.049,0.253,585.0,0.9,0.0,Initial Escalation
2024-10-14,Strait of Malacca,VLCC,28418.0,0.053,0.261,611.0,1.1,0.0,Initial Escalation
2024-10-14,Strait of Malacca,Suezmax,21300.0,0.049,0.256,652.0,1.0,0.0,Initial Escalation
2024-10-14,Strait of Malacca,Aframax,16124.0,0.051,0.275,605.0,1.1,0.0,Initial Escalation
2024-10-14,Strait of Malacca,LNG Carrier,37103.0,0.052,0.235,606.0,1.1,0.0,Initial Escalation
2024-10-14,Cape of Good Hope (reroute),VLCC,65017.0,0.049,0.234,637.0,13.2,0.0,Initial Escalation
