Date,Country,Sector,Supply_Chain_Disruption_Index,Estimated_GDP_Impact_MUSD,Avg_Delivery_Delay_Days,Input_Cost_Increase_Pct,Inventory_Stress_Score,Supplier_Diversification_Score,Conflict_Phase
2024-10-01,China,Energy,20.0,0.0,0.9,0.0,3.3,6.5,Initial Escalation
2024-10-01,China,Manufacturing,10.3,0.0,1.1,0.0,2.1,6.5,Initial Escalation
2024-10-01,China,Agriculture,7.5,0.0,1.1,0.0,1.1,6.5,Initial Escalation
2024-10-01,China,Pharmaceuticals,5.5,0.0,1.0,0.0,1.0,6.5,Initial Escalation
2024-10-01,China,Electronics,8.1,0.0,1.0,0.0,1.5,6.5,Initial Escalation
2024-10-01,China,Automotive,11.4,0.0,1.0,0.0,1.9,6.5,Initial Escalation
2024-10-01,China,Textiles,4.4,0.0,0.9,0.0,0.9,6.5,Initial Escalation
2024-10-01,China,Chemicals,13.2,0.0,1.1,0.0,2.3,6.5,Initial Escalation
2024-10-01,India,Energy,22.7,0.0,1.0,0.0,4.6,5.0,Initial Escalation
2024-10-01,India,Manufacturing,15.7,0.0,0.9,0.0,2.8,5.0,Initial Escalation
2024-10-01,India,Agriculture,9.6,0.0,1.1,0.0,1.6,5.0,Initial Escalation
2024-10-01,India,Pharmaceuticals,7.3,0.0,0.9,0.0,1.5,5.0,Initial Escalation
2024-10-01,India,Electronics,11.3,0.0,1.0,0.0,2.2,5.0,Initial Escalation
2024-10-01,India,Automotive,13.8,0.0,0.9,0.0,2.5,5.0,Initial Escalation
2024-10-01,India,Textiles,7.6,0.0,0.9,0.0,1.3,5.0,Initial Escalation
2024-10-01,India,Chemicals,19.9,0.0,1.0,0.0,3.5,5.0,Initial Escalation
2024-10-01,Japan,Energy,34.0,0.0,1.0,0.0,6.9,3.0,Initial Escalation
2024-10-01,Japan,Manufacturing,23.3,0.0,1.0,0.0,4.4,3.0,Initial Escalation
2024-10-01,Japan,Agriculture,14.0,0.0,1.1,0.0,2.5,3.0,Initial Escalation
2024-10-01,Japan,Pharmaceuticals,10.6,0.0,0.9,0.0,2.0,3.0,Initial Escalation
2024-10-01,Japan,Electronics,17.2,0.0,0.9,0.0,3.0,3.0,Initial Escalation
2024-10-01,Japan,Automotive,20.9,0.0,1.0,0.0,3.8,3.0,Initial Escalation
2024-10-01,Japan,Textiles,10.2,0.0,1.1,0.0,1.7,3.0,Initial Escalation
2024-10-01,Japan,Chemicals,24.7,0.0,1.0,0.0,4.2,3.0,Initial Escalation
2024-10-01,South Korea,Energy,28.2,0.0,1.0,0.0,5.4,4.2,Initial Escalation
2024-10-01,South Korea,Manufacturing,20.3,0.0,0.9,0.0,3.4,4.2,Initial Escalation
2024-10-01,South Korea,Agriculture,12.2,0.0,0.9,0.0,1.9,4.2,Initial Escalation
2024-10-01,South Korea,Pharmaceuticals,10.8,0.0,1.0,0.0,1.6,4.2,Initial Escalation
